flight_id,flight_type,flight_from,flight_from_airport,flight_to,flight_to_airport
RYR7125,B738,Arrecife (Lanzarote),GCRR,Dublin Int'l,EIDW
RYR7162,B738,Ben Gurion Int'l,LLBG,Vienna Int'l (Schwechat),LOWW
RYR7263,B738,Kyiv Boryspil Int'l,UKBB,Krakow Int'l,EPKK
RYR7723,B738,Gran Canaria Int'l,GCLP,San Pablo,LEZL
RYR7785,B738,Malaga,LEMG,London Luton,EGGW
RYR8006,B738,Aberdeen,EGPD,Alicante,LEAL
RYR8163,B738,Malaga,LEMG,London Stansted,EGSS
RYR8167,B738,Tenerife South (Reina Sofia),GCTS,London Stansted,EGSS
RYR8183,B738,El Matorral,GCFV,London Stansted,EGSS
RYR8262,B738,Bristol Int'l,EGGD,Orio al Serio Int'l,LIME
RYR8289,B738,Arrecife (Lanzarote),GCRR,London Stansted,EGSS
RYR8364,B738,San Pablo,LEZL,London Stansted,EGSS
RYR8418,B738,Ciampino (Giovan Battista Pastine),LIRA,Budapest Ferenc Liszt International Airport,LHBP
RYR843,B738,Kerry (Farranfore),EIKY,London Luton,EGGW
RYR8452,B738,Gdansk Lech Walesa,EPGD,None,None
RYR8508,B738,Krakow Int'l,EPKK,"Sandefjord, Torp",ENTO
RYR8512,B738,Hamburg,EDDH,Dublin Int'l,EIDW
RYR8742,B738,Malta Int'l (Luqa),LMML,Bournemouth,EGHH
RYR1122,B738,Tenerife South (Reina Sofia),GCTS,Birmingham Int'l,EGBB
RYR1279,B738,Manchester,EGCC,Marco Polo Int'l (Marco Polo Venice),LIPZ
RYR128,B738,Barcelona Int'l,LEBL,Hamburg,EDDH
RYR1386,B738,Brussels South Charleroi,EBCI,Porto / Oporto,LPPR
RYR1502,B738,"Oslo, Gardermoen",ENGM,Vilnius Int'l,EYVI
RYR1961,B738,Tenerife South (Reina Sofia),GCTS,San Pablo,LEZL
RYR2132,B738,Arrecife (Lanzarote),GCRR,Manchester,EGCC
RYR214,B738,Vienna Int'l (Schwechat),LOWW,Malpensa Int'l,LIMC
RYR2156,B738,Birmingham Int'l,EGBB,Malaga,LEMG
RYR2168,B738,Palma de Mallorca (or Son Sant Joan),LEPA,Valladolid,LEVD
RYR2548,B738,Stockholm-Skavsta,ESKN,Malaga,LEMG
RYR2574,B738,Santiago de Compostela,LEST,Malaga,LEMG
RYR2634,B738,London Stansted,EGSS,Zaragoza,LEZG
RYR2803,B738,London Southend,EGMC,Palma de Mallorca (or Son Sant Joan),LEPA
RYR2863,B738,Luxembourg Int'l,ELLX,Porto / Oporto,LPPR
RYR2915,B738,Brussels,EBBR,Palma de Mallorca (or Son Sant Joan),LEPA
RYR3039,B738,Barcelona Int'l,LEBL,Václav Havel Airport,LKPR
RYR3173,B738,Arrecife (Lanzarote),GCRR,East Midlands,EGNX
RYR3711,B738,Birmingham Int'l,EGBB,Faro,LPFR
RYR3902,B738,Malta Int'l (Luqa),LMML,Birmingham Int'l,EGBB
RYR3964,B738,Kaunas Int'l,EYKA,Federico Fellini Int'l,LIPR
RYR4048,B738,Copenhagen,EKCH,Malaga,LEMG
RYR4088,B738,Manchester,EGCC,Faro,LPFR
RYR4206,B738,Ioannis Kapodistrias Int'l,LGKR,Liverpool John Lennon,EGGP
RYR4267,B738,"Verona (Villafranca Int'l, Valerio Catullo)",LIPX,Dublin Int'l,EIDW
RYR429,B738,Dublin Int'l,EIDW,None,None
RYR4567,B738,Figari Sud Corse,LFKF,Brussels South Charleroi,EBCI
RYR4756,B738,Arrecife (Lanzarote),GCRR,Bristol Int'l,EGGD
RYR51,B738,General Humberto Delgado Airport,LPPT,None,None
RYR5161,B738,Sofia Airport,LBSF,Edinburgh,EGPH
RYR5273,B738,Palma de Mallorca (or Son Sant Joan),LEPA,San Pablo,LEZL
RYR5332,B738,Biarritz,LFBZ,Brussels South Charleroi,EBCI
RYR5488,B738,Porto / Oporto,LPPR,Weeze,EDLV
RYR5611,B738,Palanga Int'l,EYPA,Dublin Int'l,EIDW
RYR9057,B738,Bremen,EDDW,Alicante,LEAL
RYR9067,B738,Billund,EKBI,Alicante,LEAL
RYR9143,B738,Faro,LPFR,London Stansted,EGSS
